X,usrindex,grp1.var1,grp1.var2,grp1.var3,grp2.var1,grp2.var2,grp2.var3,grp2.var4,grp3.var1,grp3.var2,grp3.var3,grp3.var4,grp3.var5,grp3.var6,grp4.var1,grp4.var2,grp4.var3,grp5.var1,grp5.var2,grp5.var3,grp5.var4,grp6.var1,grp6.var2,grp6.var3,grp7.var1,grp7.var2,grp7.var3,grp7.var4,grp8.var1,grp8.var2,grp8.var3,grp8.var4,grp8.var5,grp8.var6,grp8.var7,grp9.var1,grp9.var2,grp9.var3,grp9.var4,grp9.var5,grp9.var6
9/1/82,1,0.003007519,0.803108808,5,-0.075762339,3.2505,0.200892857,3,-1.5186,-1.1574,-0.013513514,-39.33333333,20.7,5,0.127965492,-0.1875,421,1.202380952,38.55,-0.513492063,4,120.145,-2.6,2,0.075562701,3,-0.224753728,0.912118222,0.183444164,0.396196513,1.338227848,4.5,650.65,-0.023950744,23,4,0.801804265,-1.981132075,0.183,3.459869848,4.252
10/1/82,1,0.072680412,0.803108808,5,-0.106696572,3.6355,0.125,2,-1.3521,-1.9755,-0.016920474,-33.33333333,20.7,5,0.263424125,-0.160409556,456,1.289230769,39.1,-0.515714286,3,121.58,-2.6,3.3,0.14831673,4,0.414839203,1,0.139545057,0.299746835,1.254030288,3.5,656.75,-0.025405849,20,4,0.741725523,-5,0.168,0.835509138,3.462
11/1/82,1,0.101538462,0.803108808,6,-0.137674117,3.733,0.100840336,2,-0.8615,-1.0785,-0.016920474,-22.66666667,20.7,5,0.470491127,-0.124113475,505,1.235119048,39.3,-0.464989648,2,122.0675,-2.6,4.7,0.238291026,5,-0.714566769,1,0.054382598,0.161211529,1.113348946,3,618.1,-0.026121228,26,4,0.747264922,-9.038461538,0.273,0.13562387,2.662
12/1/82,0,0.094111726,0.847150259,5,-0.161041466,3.79375,0.09478673,2,0.0991,-0.7987,-0.013605442,-6.666666667,33.41,6,0.638818565,-0.08,518.3333333,1.325648415,41,-0.279275362,2,121.335,-1.4,4.9,0.283094608,5,-0.804056872,1,-0.061590382,-0.059891107,1,4,556.15,-0.025548193,37,5,0.719360199,-2.410377358,0.3585,0.467895363,2.4905
1/1/83,0,0.079556898,0.847150259,4,-0.176358437,3.60375,-0.02283105,2,0.3151,1.5357,-0.003412969,18,33.41,7,0.713347023,-0.061594203,552.3333333,1.385674931,44.4,-0.265942029,3,121.065,-1.4,4.1,0.356802689,5,-1.118471987,1,-0.13574177,-0.096286107,1,4.5,505.35,-0.022323213,38,6,0.747957347,-10.38461538,0.3935,-0.230637813,2.5855
2/1/83,0,0.103816794,0.847150259,5,-0.157347204,3.51875,-0.256704981,2,0.0082,-0.7173,-0.003418803,44,33.41,8,0.771016813,-0.043956044,555,1.511221945,50.2,-0.213492063,3,119.9575,-1.4,6.1,0.238892143,6,-1.256947706,1,-0.181742393,-0.084309133,1,4.5,490.75,-0.019638118,41,6,0.711258828,1.835443038,0.468,-0.466757741,2.522
3/1/83,0,0.128435782,0.847150259,6,-0.124829932,3.38875,-0.301115242,1,0.7543,0.9058,0.003424658,66.66666667,11.31,8,0.753176742,-0.02238806,580,1.375565611,54.15,-0.292063492,4,120.26,1.6,7.2,0.270220894,7,-1.691216678,1,-0.248982755,-0.137017071,1,4.5,484,-0.016791807,46,5,0.735493699,0.673076923,0.398,-0.517996109,2.162
4/1/83,0,0.174915906,0.894664843,6,-0.097919656,3.2055,-0.318007663,1,1.0445,0.9988,0.012048193,78.66666667,11.31,8,0.7432282,0.003787879,598.6666667,1.291304348,54.05,-0.242063492,5,121.5175,1.6,6.4,0.229676165,8,-2.83692254,1,-0.249520154,-0.152173913,1.03539823,5.5,488.15,-0.013911325,47,4,0.711258828,2.03125,0.368,-0.220483642,2.087
5/1/83,0,0.225325885,0.959128065,6,-0.070623591,2.99325,-0.377862595,1,1.1768,1.3185,0.017211704,84.66666667,11.31,8,0.723725835,0.058139535,632.6666667,1.352297593,55.15,-0.254329004,6,122.185,1.6,8.4,0.172152447,8,49.19432058,1,-0.219053398,-0.201024328,1,6.5,482.55,-0.009575494,47,4,0.747888104,-0.145933014,0.3725,-0.076035032,2.2565
6/1/83,0,0.263109476,0.959128065,6,-0.048275862,2.6915,-0.294372294,2,1.3483,1.6058,0.025862069,88,3.31,8,0.816596932,0.119047619,651,1.363238512,56.8,-0.141547049,7,123.3325,3.4,10,0.195321388,8,50.49027211,1,-0.179815689,-0.258965805,1,7.5,451.6,-0.004042603,49,5,0.796594065,-0.357859532,0.2745,-0.223572296,2.119
