Date,ACM US Equity,CX US Equity,GVA US Equity,CBI US Equity,VMC US Equity,FLR US Equity,WMT US Equity,BBY US Equity,TSN US Equity,XLP US Equity,S5CONS Index,BA US Equity,LMT US Equity,NOC US Equity,RTN US Equity,OSK US Equity,UTX US Equity,GD US Equity,S5AERO Index,PPA US Equity,XAR US Equity,ITA US Equity,DFI Index,SCTY US Equity,RUN US Equity,SPWR US Equity,REGI US Equity,XOM US Equity,CNX US Equity,SXC US Equity,WLB US Equity,HNRG US Equity,CLD US Equity,S5ENRS Index,RGR US Equity,SWHC US Equity,GILD US Equity,MRK US Equity,PFE US Equity,HCA US Equity,ANTM US Equity,CYH US Equity,AET US Equity,UNH US Equity,CI US Equity,IHF US Equity,XLV US Equity,IYH US Equity,IHE US Equity,PJP US Equity,XBI US Equity,HUM US Equity,S5HLTH Index,MSFT US Equity,AAPL US Equity,ORCL US Equity,CAT US Equity,GE US Equity,ETH US Equity,COH US Equity,BID US Equity,MOV US Equity,RACE US Equity,TIF US Equity,SPGLGUP Index,SPX Index,NDX Index,TYZ6 Comdty,SPY US Equity,IAU US Equity,MXNUSD Curncy,X US Equity,STLD US Equity,AA US Equity,LZB US Equity,WU US Equity,MGI US Equity,GEO US Equity,CXW US Equity,FCAU US Equity,F US Equity,GM US Equity,TSLA US Equity,EWW US Equity
3/2/16,28.95,5.64,42.86,34.62,101.89,48.25,64.8,31.84,65.51,50.68,527.13,117.71,214.26,191.7,123.05,35.07,94.33,133.39,709.49,33.81,50.24,112.63,2722.69,19.46,6.1,24.09,7.71,81.32,9.45,5.56,7,4.91,1.91,443.56,69.89,25.28,87.35,51.02,29.47,71.3,132.09,13.43,109.42,119.67,140.46,117.79,66.99,138.88,139.92,60.77,52.17,181.82,781.56,52.26,99.6,37.34,68.05,29.72,28.99,38.2,24.89,29.16,39.04,66.42,1913.66,1986.45,4334.39,NA,195.96,11.97,0.06,11.3,20.15,28.69,25.13,18.01,5.22,28.83,27.72,7.43,12.93,29.05,188.34,50.65
3/3/16,29.3,5.63,44.02,35.4,102.36,48.5,64.73,32.24,65.74,50.93,529.85,117.67,215.56,190.51,122.83,36.24,94.9,133.52,712.23,33.98,50.51,113.04,2740.51,22.49,6.4,23.97,7.8,81.02,10.3,5.9,7.35,4.92,1.97,449.24,70.84,25.4,86.4,50.86,29.38,72.93,130.99,14.3,108.91,120.21,140.39,119.38,66.8,138.41,139.04,60.48,51.59,182.33,778.83,51.66,100.34,37.47,70.38,29.76,29.28,38.12,26.21,29.84,38.9,67.78,1925.63,1993.4,4325.86,NA,196.73,12.17,0.06,12.29,19.75,28.25,25.27,18.63,5.69,29.47,28.48,7.64,13.25,29.94,195.74,50.43
3/4/16,29.35,5.72,43.87,35.6,101.41,48.78,65.36,32.29,64.68,51.15,532.41,119.1,215.76,189.47,122.98,36.95,95.78,133.07,714.39,34.08,50.76,113.75,2764.16,22.39,6.21,24.72,8.03,80.91,10.58,5.67,7.57,5.13,1.95,453.31,71.99,27.05,85.79,50.84,29.2,73,130.38,13.89,107.35,120.2,138.9,118.68,66.64,138.13,138.07,60.16,51.81,182.36,777.67,51.35,101.84,37.47,71.45,30,29.12,38.11,25.81,29.49,39.24,68.44,1938.73,1999.99,4329,NA,197.37,12.17,0.06,12.92,19.42,28.54,25.3,18.78,5.74,28.3,28.14,7.7,13.3,30.23,201.04,50.99
3/7/16,29.65,6.01,43.89,36.23,102.67,51.35,66.45,33.04,65.41,50.83,529.13,120.9,212.92,185.11,120.46,37.88,95.7,130.17,709.7,33.92,50.71,113.41,2774.45,24.19,6.6,24.22,8.38,83.05,11.66,6.28,7.41,5.4,2.1,464.02,71.91,25.94,88.19,51.38,29.28,72.94,131.21,13.82,108.97,120.16,140.43,119.08,67.18,139.35,141.05,61.07,53.67,183.36,783.9,50.36,100.71,37.93,73.34,29.83,29.34,38.51,26.93,29.57,40.09,69.36,1930.91,2001.76,4303.33,NA,197.53,12.23,0.06,13.51,20.3,29.95,25.34,19.04,6,28.46,28.85,7.63,13.33,30.44,205.29,51.37
3/8/16,28.3,5.67,42.5,34.69,101.78,50.6,66.59,32.74,65.16,50.98,530.8,120.36,212.42,185.29,120.51,36.62,95.68,129.25,708.21,33.6,50.12,112.29,2730.74,25.08,6.68,22.53,8.31,81.25,10.46,5.85,6.86,5.29,2.01,444.86,72.69,26.89,87.21,51.2,28.86,71.49,131.14,13.29,106.28,120.06,139.88,116.97,66.36,137.5,137.43,59.71,50.86,181.64,773.81,50.97,99.88,37.72,70.36,29.6,29.11,37.8,25.42,29.2,40.7,68.06,1919.45,1979.26,4265.51,NA,195.37,12.17,0.06,12.29,19.96,27.83,25.09,18.64,5.77,27.69,28.2,7.27,12.94,29.57,202.6,50.09
3/9/16,28.93,5.85,42.83,34.4,102.21,49.81,66.58,32.84,65.8,51.36,534.64,120.86,213.48,185.17,120.48,36.49,95.38,129.75,711.07,33.74,50.13,112.83,2733.32,26.2,6.65,22.98,8.34,81.02,11.03,5.87,7.5,5.22,2.1,451.7,74.57,28.24,86.4,51.11,29.23,72.26,133.18,13.61,108.5,120,140.09,117.59,66.47,137.58,137.91,59.78,50.39,183.54,775.12,52.15,99.97,38.05,70.5,29.59,29.28,38.14,25.88,30.03,41.5,68.86,1918.8,1989.26,4293.23,NA,196.34,12.08,0.06,12.47,20.01,28.1,25.13,18.75,6.08,28.3,28.49,7.36,12.9,29.8,208.72,50.69
3/10/16,29.22,5.88,41.7,34.4,102.87,49.44,66.47,33.05,66.36,51.38,534.67,120.94,213.63,185.18,119.82,36.31,94.97,131.39,710.16,33.55,49.82,112.04,2711.8,26.15,7.15,22.82,8.24,80.81,11.09,5.99,7.67,5.31,2.08,451.81,72.43,27.92,87.19,51.77,29.09,72.2,136.42,12.94,110.14,120.98,142.13,117.46,66.51,137.53,137.62,59.77,49.53,183.87,775.55,51.37,100.02,37.62,70,29.48,29.09,38.42,25.3,29.87,41.05,69.14,1912.53,1989.57,4286.97,NA,196.5,12.27,0.06,14.3,20.8,28.6,24.56,18.3,6.02,28.27,28.07,7.23,12.87,30.07,205.18,50.38
3/11/16,30.4,5.86,42.72,35.9,103.78,51.01,66.23,32.82,67.4,51.55,535.75,122.61,214.11,188.3,120.67,36.82,95.53,133.31,717.11,34.05,50.63,113.74,2758.96,25.69,6.36,23.42,8.52,80.82,11.7,6.33,7.85,5.59,2.17,461.9,72.66,28.11,88.19,52.39,29.98,74.95,141.66,13.56,112.72,123.96,144.62,120.87,67.81,140.34,141.55,61.31,51.18,186.01,790.58,52.37,101.09,38.51,71.41,29.88,29.56,38.98,26.13,29.5,42.23,70.47,1952.83,2022.19,4361.83,NA,199.67,12.06,0.06,14.46,20.82,28.39,25.29,18.64,6.24,29.74,28.52,7.56,13,30.5,207.5,51.27
3/14/16,30.12,5.9,42.75,35.75,103.4,51.29,66.42,32.18,66.93,51.52,535.35,124.29,213.67,186.99,119.78,36.94,95.61,132.02,716.43,33.93,50.51,113.44,2747.46,26.93,6.36,23.7,8.49,81.03,11.88,6.26,7.85,5.41,2.18,459.05,73.58,28.37,89.41,52.27,29.59,74.72,142.72,13.62,113.41,124.08,145.27,120.57,67.52,139.88,141.04,61.13,51.77,185.43,787.32,52.47,101.35,38.27,71.34,29.81,29.61,38.72,26.27,29.72,41.51,70.49,1967.59,2019.64,4367.33,NA,199.41,11.89,0.06,14.5,20.93,28.84,25.69,18.63,6.34,29.54,29.11,7.73,12.98,30.42,215.15,50.89
3/15/16,29.9,5.74,41.75,34.91,103.17,50.74,67.14,31.26,66.38,51.65,536.37,124.31,214.11,190.06,120.68,37.27,95.08,131.11,716.84,33.86,50.13,113.08,2737.84,27.37,6.31,23.36,8.1,81.44,11.55,5.86,7.63,5.13,2.11,458.39,71.98,28.13,88.4,51.62,29.04,73.17,140.87,12.73,112.12,123.71,143.39,118.35,66.47,137.45,134.84,58.95,48.78,183.02,774.61,52.89,103.39,38.31,71.06,29.82,29.03,38.19,25.38,28.92,40.89,68.67,1952.78,2015.93,4367.08,NA,199.09,11.91,0.06,14.22,20.55,27.32,25.4,18.18,5.98,28.9,28.91,7.56,12.94,30.3,218.34,50.06
3/16/16,30.59,5.98,43.22,36.69,103.23,52.18,67.04,31.51,66.76,51.77,537.35,125.5,215.24,189.96,121.33,38.38,96.26,131.8,722.06,34.16,50.76,114.33,2781.37,26.81,6.63,24.41,8.61,81.48,11.63,6.03,7.75,5.05,2.15,465.75,73.86,28.52,89.23,51.14,28.55,74.49,142.06,12.78,112.61,123.76,141.95,119.06,66.32,136.96,133.28,58.52,48.19,182.5,772.43,53.64,104.76,39.77,72.92,29.71,29.58,38.34,25.86,28.89,41.73,68.94,1961.08,2027.22,4404.2,NA,200.24,12.16,0.06,15.38,21.29,29.05,25.56,18.35,5.97,29.93,29.45,7.79,13.21,30.92,221.93,51.41
3/17/16,31.47,6.25,44.02,37.94,104.33,54.35,66.5,31.7,66.92,52.08,541.07,128.58,216.28,189.31,120.55,39.07,97.59,131.93,729.75,34.64,51.67,116.13,2821.58,26.76,6.9,24.74,8.83,82.69,11.9,6.38,7.79,5.01,2.06,472.43,75.01,29.37,88.49,50.74,28.84,73.72,138.93,12.68,109.82,123.4,137.8,117.51,65.54,135.59,131.03,57.46,48.34,181.66,764.33,53.94,104.59,40.16,74.45,30.49,30.37,39.04,26.01,29.72,42.17,69.18,1988.21,2040.59,4400.26,NA,201.51,12.13,0.06,15.35,21.67,29.65,26.04,18.69,6.25,31.39,29.8,7.79,13.18,31.18,226.38,52.87
3/18/16,31.52,6.63,43.53,38.33,105.06,54.77,66.01,31.98,66.89,52.01,540.05,131.78,217.92,192.36,122.39,40.29,97.8,133.24,738.66,34.98,52.38,117.52,2862.1,27.06,6.69,23.86,8.99,82.79,11.74,6.4,7.34,5.01,2.18,473.35,74.95,29.28,89.22,51.45,28.95,75.46,141.24,13.42,111.86,125.57,139.53,120.03,66.32,137.29,132.55,58.02,49.59,183.71,774.47,52.79,104.71,41.02,74.03,30.45,31.01,38.59,26.21,29.79,41.87,71.22,2005.86,2049.58,4410.83,NA,202.3,12.1,0.06,15.69,21.5,29.92,26.31,18.82,6.36,31.97,29.64,8.03,13.34,31.18,232.74,52.99
3/21/16,31,6.86,44.49,38.59,104.55,54.47,67.02,31.67,66.47,52.04,540.45,133.65,218.26,192.55,121.51,39.98,97.92,132.58,741.26,35.02,52.34,117.69,2867.73,26.56,6.72,23.99,8.93,82.22,11.67,6.22,7.02,4.99,2.11,470.98,74.82,29.24,91.6,51.99,29.56,75.52,138.59,13.41,110.67,125.59,138.15,119.54,66.7,138.14,133.99,58.61,50.76,182.84,777.93,53.15,104.7,41.14,74.44,30.62,30.56,38.73,26.19,29.88,41.51,70.58,2002.51,2051.6,4426.98,128.78,202.59,12.01,0.06,15.08,21.7,29.5,25.94,18.79,6,31.32,29.27,7.95,13.36,31.3,238.32,53.01
3/22/16,31.32,6.93,46.48,38.63,104.59,54.81,66.92,31.25,66.41,51.74,536.38,132.93,217.74,192.71,121.71,39.88,97.42,133.03,740.51,35.03,52.24,117.36,2849.79,24.77,6.57,23.66,8.76,82.71,12.03,6.32,6.97,4.97,2.11,469.44,75.21,29.23,92.63,52.22,29.86,77.16,139.45,14.3,111.78,126.85,138.95,120.29,67.37,139.6,137.28,60.46,52.43,183.47,784.87,53.36,105.5,40.92,74.11,30.59,30.15,38.19,26.1,29.3,41.14,71.6,1988.06,2049.8,4437.62,128.55,202.48,12.05,0.06,15.52,21.77,29.38,25.59,18.6,5.86,31.54,29.59,7.94,13.3,31.13,234.24,53.18
3/23/16,30.56,6.58,46.09,37.25,104.24,53.73,66.51,30.9,67.15,51.75,536.56,130.7,218.26,193.32,121.8,38.79,97.86,132.13,737.65,34.78,51.83,116.67,2821.05,22.36,6.36,21.87,8.83,82.35,10.44,5.78,6.92,4.68,2,459.58,75.18,29.05,89.04,52.27,29.68,76.95,138.09,14.63,111.01,128.61,137.87,120.07,66.89,138.54,135,59.29,49.8,182.7,779.97,53.26,104.92,40.29,72.27,30.6,30.1,38.08,25.17,29.02,40.17,71.01,1969.5,2036.71,4402.56,129.11,201.14,11.76,0.06,14.77,21.52,27.8,25.17,18.5,5.74,31.11,29.28,7.73,12.97,30.55,222.58,52.47
3/24/16,30.59,6.75,46.1,37.03,104.75,53.69,67.05,30.77,66.6,51.69,536.28,129.97,215.05,192.57,120.91,40.01,97.81,126.97,730.65,34.6,51.57,115.71,2814.42,22.22,6.24,21.95,9.11,82.58,10.94,6.09,7.13,4.7,2.02,461.84,68.74,26.52,90.26,52.26,29.57,76.37,138.56,14.11,111.67,127.42,137.95,119.54,66.86,138.39,134.99,59.13,49.98,183.18,779.28,53.5,104.46,40.51,73.85,30.64,30.22,38.01,24.93,29.12,40.63,69.98,1951.03,2035.94,4405.53,128.98,201.05,11.75,0.06,15.71,22.02,28.54,25.28,18.48,5.92,31.56,29.3,7.58,12.78,30.21,227.75,52.34
3/28/16,30.54,6.78,45.59,36.8,105.23,53.45,67.17,30.86,67.19,51.96,538.59,129.16,216.09,193.25,120.36,40.16,97.66,128.68,731.32,34.64,51.3,115.39,2803.32,21.69,6.47,21.94,9.06,82.81,10.92,6.12,7.19,4.47,1.97,460.26,68.49,26.92,91.39,52.02,29.27,76.44,138.15,14.01,111.36,127.75,137.61,119.66,66.67,137.96,133.19,58.48,49.34,182.04,777.07,52.84,103.99,40.17,73.88,31.01,30.36,38.26,25.15,29.43,40.58,70.16,1959.57,2037.05,4398.07,129.2,201.17,11.78,0.06,15.5,21.93,28.93,25.56,18.55,5.89,31.87,29.97,7.62,12.81,30.27,230.26,52.91
3/29/16,31.24,6.84,46.38,37.08,105.57,53.56,67.08,31.17,67.41,52.35,542.54,128.75,217.77,195.03,120.41,40.73,98.86,129.71,734.78,35.06,52.02,116.85,2865.6,22.47,6.4,22.53,9.17,83.12,11.06,6.16,7.27,4.52,1.95,461.87,70.14,27.33,91.13,52.5,29.54,77.56,138.86,15.19,112.54,128.65,138.07,122.02,67.45,139.67,136.33,60.11,50.51,185.15,786.14,53.99,106.45,40.24,74.56,31,31.24,38.73,25.46,29.93,41,70.87,1973.94,2055.01,4467.72,129,203.03,11.98,0.06,16.05,22.32,28.99,26.57,18.83,6.16,32.85,30.68,7.78,12.91,30.43,230.13,53.66
3/30/16,30.97,6.96,47.07,37.03,105.13,53.93,67.84,31.05,67.27,52.69,545.36,126.49,219.94,197.06,121.7,40.54,98.99,129.58,735.35,35.1,52.24,116.97,2874.44,23.31,6.47,22.5,9.33,83.11,11.36,6.09,7.19,4.7,1.96,463.14,68.59,27,90.9,52.4,29.56,78.1,138.56,15.11,113.43,128.5,137.46,122.24,67.46,139.55,135.9,59.7,50.1,184.29,785.57,54.33,108.31,40.51,75.05,31.35,31.02,39.62,26.64,29.83,41.78,71.61,2017.77,2063.95,4490.88,129.05,203.92,11.83,0.06,16.39,22.57,28.87,26.86,19.02,6.07,33.12,30.38,8.11,13.06,30.24,226.89,54.12
3/31/16,30.79,7,47.52,36.42,105.21,53.27,67.53,31.9,66.38,52.42,543.56,124.88,218.5,196.24,120.59,40.56,98.84,129.22,731.51,34.96,51.87,116.27,2864.13,24.58,6.48,22.34,9.44,82.19,11.29,6.5,7.21,4.5,1.95,462.41,67.39,26.62,90.8,52.1,29.13,78.05,137.59,15.24,111.61,127.73,137.24,121.83,67.25,139.64,136.38,59.81,51.59,182.35,783.85,54.51,107.75,40.45,75.08,31.31,31.3,39.4,26.73,27.07,41.18,72.39,2006.34,2059.74,4483.66,129.45,203.43,11.88,0.06,15.98,22.25,28.57,26.53,18.98,6.12,33.35,30.39,8.02,13.21,30.67,229.77,53.7
4/1/16,30.81,6.98,47.59,35.68,106.84,53.08,68.09,31.59,67.8,52.97,550.37,124.9,220.09,198.63,121.18,39.74,98.71,130.18,735.28,35.08,51.9,116.66,2870.51,24.28,6.44,22.49,9.48,81.57,10.79,6.12,7.1,4.46,1.91,456,70.58,27.76,93.03,52.88,29.53,79.2,140.42,15.37,112.96,128.74,137.16,122.82,68.01,141.5,138.55,61.01,53.09,184.14,793.79,54.84,108.74,40.7,75.32,31.44,30.78,39.82,26.43,28.35,40.53,72.78,1984.33,2072.78,4532.08,129.36,204.81,11.81,0.06,16.48,22.74,28.72,26.39,19.18,5.91,33.24,30.45,7.69,12.82,29.73,237.59,53.68
