X,usrindex,conssent1,conssent2,conssent3,cred1,cred2,cred3,cred4,indices1,indices2,indices3,indices5,indices6,indices8,housing1,housing2,housing3,manu1,manu2,manu5,manu6,macro2,macro3,macro4,equities1,equities2,equities3,equities4,emp1,emp2,emp3,emp4,emp5,emp6,emp7,yc2,yc3,yc4,yc5,yc6,yc7
1981-02-01,0.0,0.07700477960701013,0.8409387222946545,6.0,0.16265560165975113,2.2279999999999993,0.3377483443708609,7.0,-0.3731,-0.6445,0.022222222222222143,76.0,24.86,6.0,-0.017232510288065828,-0.11578947368421055,517.6666666666666,1.2137767220902613,49.000000000000014,-0.28957671957671965,5.0,93.17500000000005,0.0,-5.1000000000000005,0.07264258865827755,6.0,0.6785796506422648,0.9216782559669234,-0.2179159897888141,0.02265951103160413,1.045731707317073,6.0,421.00000000000017,0.0026729623251833257,40.0,3.0,1.0,1.9642857142856713,-0.2270000000000003,-1.4949748743718598,-1.3479999999999999
1981-03-01,0.0,0.0073782587309394465,0.8409387222946545,5.0,0.13330680461599687,2.3004999999999995,0.1964285714285714,8.0,-0.4526,-0.0304,0.015280135823429575,59.333333333333336,23.89,6.0,0.03932428690113543,-0.12765957446808507,511.6666666666667,1.1230425055928412,49.20000000000001,-0.1362433862433863,5.0,94.86250000000005,1.7,-2.5999999999999996,0.08401084010840121,6.0,0.6016230869237524,1.0,-0.16437671746190352,-0.07386363636363635,1.0,6.0,417.7500000000001,0.0024717799015687714,37.0,3.0,0.9776652769505657,10.909090909090798,-0.2970000000000006,0.5924170616113693,-0.05800000000000072
1981-04-01,0.0,-0.047222222222222054,0.8409387222946545,5.0,0.11789717819868595,1.9854999999999996,-0.1250000000000001,8.0,-0.6704,0.0798,0.006734006734006703,44.666666666666664,23.89,6.0,0.1923076923076923,-0.09116022099447518,498.0,1.195945945945946,50.600000000000016,-0.1683501683501684,5.0,97.37750000000005,1.7,1.4000000000000004,0.04189220993174869,6.0,0.47761592749189097,0.9742470636625383,-0.10137362637362635,-0.22557810287871638,1.0067484662576687,6.0,408.0000000000001,0.003197348254291743,35.0,3.0,1.0,0.2127659574468026,-0.3020000000000005,2.0161290322580485,-0.038000000000000256
1981-05-01,0.0,-0.04525288376220038,0.8409387222946545,5.0,0.11647940074906371,2.0104999999999995,-0.023952095808383755,8.0,-0.2681,-0.0944,0.003350083752093669,24.0,23.89,6.0,0.3342970726418504,-0.0714285714285714,483.6666666666667,1.1437371663244353,52.550000000000026,0.004489337822671098,5.0,99.80500000000005,1.7,0.5999999999999996,-0.05643324793623683,5.0,0.1567499231822474,0.9958182898405009,-0.012824336415150572,-0.3342640606302354,1.0239263803680982,6.0,412.80000000000007,0.005593855940763115,28.0,3.0,0.9567743764172336,0.1658767772511902,-0.4170000000000007,-0.09101251422070544,-1.1729999999999992
1981-06-01,0.0,0.02590194264569856,0.8409387222946545,5.0,0.08095410191543184,2.0105,0.06217616580310925,8.0,0.1513,-0.4547,0.0016694490818029983,16.0,33.26,5.0,0.1977264898380986,-0.07580174927113703,450.6666666666667,1.0323886639676114,52.10000000000004,-0.07659174325840996,5.0,102.46750000000004,3.0,-0.29999999999999893,-0.03351502651738347,4.0,-0.02768390693478627,0.9487226360769617,0.0356272838002436,-0.28665568369028005,1.0625766871165645,5.0,424.6,0.009942218684590554,31.0,3.0,0.9822845804988662,1.4197530864197487,-0.44200000000000106,-0.7762312633832981,-1.0079999999999991
1981-07-01,1.0,0.05126999059266191,0.8409387222946545,4.0,0.07543103448275845,1.8330000000000002,-0.19369369369369283,8.0,-0.0376,0.10400000000000001,0.006677796327211993,3.3333333333333335,33.26,4.0,-0.04744958481613282,-0.0741839762611276,437.6666666666667,1.0720720720720722,48.700000000000045,-0.0956054093308996,4.0,106.20750000000004,3.0,-2.4000000000000004,0.010575067541489513,3.0,-0.2070041584428548,0.92929939216672,0.0534142640364188,-0.22261957979436742,1.0668711656441718,4.0,433.45000000000005,0.014906326866527486,28.0,3.0,1.0,3.6885245901639463,-0.4820000000000011,-0.8962264150943403,-0.30799999999999894
1981-08-01,1.0,0.10650887573964485,0.8409387222946545,4.0,0.09850107066381142,1.7029999999999998,-0.28217821782178243,8.0,-0.7815,-0.7018,0.008361204013378032,-12.666666666666666,33.26,3.0,-0.252051282051282,-0.07228915662650603,408.0,0.9978858350951375,47.50000000000005,-0.16196343402225755,4.0,108.66500000000003,3.0,-3.9000000000000004,-0.0645996800487545,2.0,-0.3956627148340433,0.8488643115031306,0.04272997032640946,-0.14333976833976836,1.0889570552147239,3.5,439.00000000000006,0.017127536264086363,23.0,4.0,1.0,1.1144578313252964,-0.6370000000000005,-0.8629441624365498,-0.1529999999999987
1981-09-01,1.0,0.095703125,0.8670143415906127,5.0,0.11587078651685401,1.3605000000000005,-0.2885572139303474,8.0,-1.4011,-1.4974,0.0050167224080268635,-27.333333333333332,61.84,3.0,-0.35,-0.09523809523809523,382.3333333333333,1.0071599045346062,45.400000000000055,-0.08088235294117647,4.0,109.36000000000003,4.4,-5.5,-0.14573529411764696,2.0,-0.3421019644995592,0.7998491842237557,0.09656203288490284,-0.019678922837907842,1.1613496932515337,2.5,460.20000000000005,0.0166688877043355,18.0,5.0,1.0,0.6488549618320596,-0.5670000000000002,1.2351190476190523,0.697000000000001
1981-10-01,1.0,0.07191448007774515,0.8670143415906127,4.0,0.11964038727524184,1.4955000000000003,0.01785714285714257,8.0,-1.8714,-1.776,0.0016722408026756952,-40.0,61.84,3.0,-0.4148451730418944,-0.12797619047619047,357.3333333333333,0.8220858895705522,41.250000000000064,-0.06635802469135803,4.0,108.96500000000005,4.4,-5.3999999999999995,-0.08222272419245535,2.0,-0.8271090747787009,0.8582788720808008,0.1825129929685112,0.15564657694558215,1.2116564417177915,2.5,485.1,0.013393747368887432,16.0,5.0,0.9236207549551824,-0.5555555555555532,-0.2920000000000007,-3.516042780748665,1.6920000000000002
1981-11-01,1.0,-0.04321561338289959,0.8095854922279793,4.0,0.05836967460583686,1.9355000000000002,0.33128834355828296,7.0,-2.2054,-2.0549,-0.0033388981636058856,-48.0,61.84,2.0,-0.4503176043557169,-0.16814159292035402,358.6666666666667,0.7754137115839244,38.05000000000007,-0.12570145903479238,3.0,106.83000000000004,4.4,-4.6,-0.047062372727958435,2.0,-0.41460868799599554,0.9030437365751108,0.21510574018126882,0.2451338199513382,1.2558282208588958,2.5,502.3,0.009508231748873497,11.0,5.0,0.8289357404368135,-1.6869918699186963,0.09299999999999908,-2.7284105131414282,2.322
